user_id,age,salary,country_original,education,device,feedback_text,purchase_amount,country_cleaned,device_grouped,education_binary,education_simplified
1001,58,0,Германия,Высшее,Desktop,Не работает,0,Германия,Desktop,1,Higher_or_Incomplete
1002,45,0,США,Среднее,Mobile,Disappointed,5055,США,MobileDevice,0,Secondary_or_Special
1003,55,76463,Росия,Среднее,Mobile,Excellent service,2456,Россия,MobileDevice,0,Secondary_or_Special
1004,40,100082,рф,Среднее,Smart TV,"Great product, recommended",6766,Россия,OtherDevice,0,Secondary_or_Special
1005,54,65203,Российская Фередация,Неоконченное высшее,Smartwatch,Alles perfekt!,8735,Россия,OtherDevice,0,Higher_or_Incomplete
1006,28,49260,Великобритания,Среднее,Desktop,Disappointed,2497,Великобритания,Desktop,0,Secondary_or_Special
1007,47,104735,Britain,Высшее,Mobile,Лучший магазин в котором покупал,0,Великобритания,MobileDevice,1,Higher_or_Incomplete
1008,38,71290,U.S.A.,Неоконченное высшее,Mobile,Так себе,1896,США,MobileDevice,0,Higher_or_Incomplete
1009,34,54150,КНР,Высшее,Desktop,"Неплохо, но есть нюансы",3766,Китай,Desktop,1,Higher_or_Incomplete
1010,49,66915,Росия,Среднее,Desktop,Nicht angekommen,7982,Россия,Desktop,0,Secondary_or_Special
1011,51,72953,Россия,Среднее,Desktop,Никому не советую,0,Россия,Desktop,0,Secondary_or_Special
1012,45,75730,Великобритания,Среднее специальное,Desktop,Лучший магазин в котором покупал,6540,Великобритания,Desktop,0,Secondary_or_Special
1013,56,66071,U.S.A.,Среднее специальное,Tablet,Никому не советую,6976,США,MobileDevice,0,Secondary_or_Special
1014,74,74504,USA,Высшее,Desktop,Все пришло в целости,9799,США,Desktop,1,Higher_or_Incomplete
1015,67,28241,франция,Высшее,Desktop,Нормальный магазин,2105,Франция,Desktop,1,Higher_or_Incomplete
1016,30,91723,Великобритания,Высшее,Desktop,"Sehr gut, empfehlenswert",0,Великобритания,Desktop,1,Higher_or_Incomplete
1017,19,19277,Китай,Среднее,Mobile,Не могу войти в аккаунт,1162,Китай,MobileDevice,0,Secondary_or_Special
1018,22,58695,Англия,Высшее,Mobile,Верните деньги,3892,Великобритания,MobileDevice,1,Higher_or_Incomplete
1019,30,51181,Франция,Высшее,Mobile,Прекрасное качество,627,Франция,MobileDevice,1,Higher_or_Incomplete
1020,43,99473,Российская Фередация,Высшее,Desktop,Good,2507,Россия,Desktop,1,Higher_or_Incomplete
